run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-11_11-13-22_mujoco,4999,full,vx=0.1,0.1,0.0,0.012132,-0.043476,-0.00871,0.504318,0.002471,0.0,0.08053,0.015238,0.125024,0.0,3.15961,0.666667,0.00871,0.449259,0.144778,0.010249,0.070741,0.006821
2026-07-11_11-13-22_mujoco,4999,full,vx=0.2,0.2,0.0,0.012279,-0.048802,-0.010949,0.504389,0.002261,0.0,0.092655,0.014642,0.123983,0.0,3.059807,0.666667,0.010949,0.251899,0.249301,0.012145,0.078995,0.007901
2026-07-11_11-13-22_mujoco,4999,full,vx=0.3,0.3,0.0,0.012986,-0.053963,-0.011365,0.506398,0.003056,0.0,0.081462,0.023921,0.199624,0.0,3.512995,0.666667,0.011365,0.184184,0.354711,0.01347,0.071366,0.008302
2026-07-11_11-13-22_mujoco,4999,full,vx=0.4,0.4,0.0,0.01314,-0.062047,-0.013874,0.508588,0.002572,0.0,0.083052,0.017791,0.155611,0.0,3.630213,0.666667,0.013874,0.159237,0.462589,0.015981,0.074962,0.007166
2026-07-11_11-13-22_mujoco,4999,full,vx=0.5,0.5,0.0,0.013081,-0.06215,-0.015887,0.507794,0.002182,0.0,0.10152,0.015646,0.121875,0.0,3.32929,0.666667,0.015887,0.128823,0.562491,0.017704,0.085888,0.006536
2026-07-11_11-13-22_mujoco,4999,full,vx=0.6,0.6,0.0,0.013219,-0.068628,-0.017315,0.509747,0.002308,0.0,0.098304,0.016829,0.13429,0.0,3.60138,0.666667,0.017315,0.118259,0.668976,0.019547,0.083657,0.007028
2026-07-11_11-13-22_mujoco,4999,full,vy=0.1,0.0,0.1,0.013416,-0.034933,-0.006917,0.501322,0.002399,0.0,0.091141,0.017812,0.130387,0.0,2.787328,0.666667,0.034933,0.38533,0.040394,0.107061,0.078272,0.008274
2026-07-11_11-13-22_mujoco,4999,full,vy=0.2,0.0,0.2,0.012368,-0.033715,-0.006634,0.501377,0.002311,0.0,0.091537,0.016686,0.122286,0.0,2.823386,0.666667,0.033715,0.181901,0.038886,0.206704,0.078113,0.006494
2026-07-11_11-13-22_mujoco,4999,full,vy=0.3,0.0,0.3,0.012155,-0.033894,-0.006486,0.502025,0.002312,0.0,0.086993,0.01507,0.115789,0.0,2.874123,0.666667,0.033894,0.120689,0.038073,0.306526,0.073949,0.006932
2026-07-11_11-13-22_mujoco,4999,full,vyaw=0.5,0.0,0.0,0.017474,-0.013424,-0.017708,0.488935,0.002912,0.0,0.094036,0.0261,0.167347,0.0,1.653315,0.666667,0.0,0.037298,0.019629,0.034826,0.048331,0.00842
2026-07-11_11-13-22_mujoco,4999,full,vyaw=1.0,0.0,0.0,0.01912,0.004652,-0.01727,0.47609,0.003547,0.0,0.100888,0.02764,0.189737,0.0,2.131277,0.666667,0.0,0.049832,0.034748,0.038304,0.013633,0.00772
2026-07-11_11-13-22_mujoco,4999,full,vx=-0.3,-0.3,0.0,0.015668,-0.012018,-0.001075,0.497066,0.00301,0.0,0.080333,0.025244,0.159652,0.0,2.702293,0.666667,0.001075,0.085544,0.289334,0.005926,0.067935,0.00779
2026-07-11_11-13-22_mujoco,4999,full,vx=-0.6,-0.6,0.0,0.015197,0.010487,0.004554,0.490723,0.002455,0.0,0.086586,0.021755,0.134263,0.0,2.241309,0.666667,0.004554,0.031396,0.610819,0.005822,0.073334,0.008785
2026-07-11_11-13-22_mujoco,4999,full,vx=0.3_vy=0.2,0.3,0.2,0.013841,-0.053721,-0.011116,0.507354,0.002537,0.0,0.079996,0.016845,0.130073,0.0,3.439164,0.666667,0.0,0.153157,0.354362,0.211227,0.070926,0.007489
2026-07-11_11-13-22_mujoco,4999,full,vx=0.3_vyaw=0.5,0.3,0.0,0.017174,-0.01271,-0.036369,0.494613,0.002783,0.0,0.091731,0.025135,0.163506,0.0,1.846087,0.666667,0.036369,0.165538,0.313241,0.048359,0.044349,0.007713
2026-07-11_11-13-22_mujoco,4999,full,vx=0.3_vy=0.2_vyaw=0.5,0.3,0.2,0.016171,-0.012837,-0.034418,0.494615,0.002849,0.0,0.092331,0.025148,0.167196,0.0,1.843027,0.666667,0.0,0.13373,0.313346,0.236589,0.045872,0.007012
