run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-11_10-16-39_mujoco,4999,full,vx=0.1,0.1,0.0,2.293958,0.090568,0.042629,0.704258,0.027404,0.0,0.082423,2.799286,4.381353,0.0,5.891297,13.0,0.042629,1.162016,0.113445,0.069794,0.483712,0.468442
2026-07-11_10-16-39_mujoco,4999,full,vx=0.2,0.2,0.0,2.112709,0.048685,0.02899,0.692395,0.042592,0.0,0.099811,2.887785,4.457695,0.0,6.593627,1.333333,0.02899,0.497578,0.192737,0.065494,0.57788,0.513793
2026-07-11_10-16-39_mujoco,4999,full,vx=0.3,0.3,0.0,2.136762,0.06973,0.034207,0.693434,0.043403,0.0,0.103043,3.163292,4.51108,0.0,7.385287,2.0,0.034207,0.403242,0.265775,0.072067,0.553195,0.516038
2026-07-11_10-16-39_mujoco,4999,full,vx=0.4,0.4,0.0,2.176628,0.076632,0.036857,0.70079,0.033287,0.0,0.087247,2.813587,4.594559,0.0,6.206847,13.0,0.036857,0.271485,0.343072,0.066127,0.509525,0.460457
2026-07-11_10-16-39_mujoco,4999,full,vx=0.5,0.5,0.0,2.187387,0.078051,0.030965,0.698183,0.035885,0.0,0.087501,3.027061,4.490684,0.0,6.786583,10.0,0.030965,0.23246,0.439261,0.064797,0.545074,0.498263
2026-07-11_10-16-39_mujoco,4999,full,vx=0.6,0.6,0.0,2.225236,0.080579,0.036273,0.699503,0.035307,0.0,0.088182,2.97116,4.749254,0.0,6.621781,0.333333,0.036273,0.19634,0.533686,0.068229,0.522765,0.487212
2026-07-11_10-16-39_mujoco,4999,full,vy=0.1,0.0,0.1,2.208438,0.052698,0.026431,0.695498,0.037172,0.0,0.088541,2.745273,4.523499,0.0,5.65933,7.0,0.052698,0.956637,0.121308,0.092199,0.531783,0.465631
2026-07-11_10-16-39_mujoco,4999,full,vy=0.2,0.0,0.2,2.177747,0.065968,0.030811,0.699644,0.032171,0.0,0.084323,2.746847,4.445933,0.0,5.705632,0.333333,0.065968,0.498937,0.128311,0.177762,0.518174,0.456879
2026-07-11_10-16-39_mujoco,4999,full,vy=0.3,0.0,0.3,2.242577,0.064631,0.03069,0.698583,0.033998,0.0,0.086365,2.781157,4.592249,0.0,5.778241,6.333333,0.064631,0.339692,0.128459,0.274954,0.523871,0.46093
2026-07-11_10-16-39_mujoco,4999,full,vyaw=0.5,0.0,0.0,2.210531,0.071577,0.035531,0.698759,0.034597,0.0,0.089253,2.848395,4.456973,0.0,5.957325,1.666667,0.0,0.108608,0.13694,0.069351,0.838377,0.524134
2026-07-11_10-16-39_mujoco,4999,full,vyaw=1.0,0.0,0.0,2.053136,0.028004,0.010885,0.685581,0.045025,0.0,0.10171,2.975852,4.420074,0.0,6.591913,1.0,0.0,0.092935,0.121156,0.05606,1.45114,0.469163
2026-07-11_10-16-39_mujoco,4999,full,vx=-0.3,-0.3,0.0,2.169823,0.068376,0.030406,0.698457,0.035191,0.0,0.087387,2.803098,4.634948,0.0,6.269182,3.666667,0.030406,0.344645,0.386077,0.061227,0.564842,0.488724
2026-07-11_10-16-39_mujoco,4999,full,vx=-0.6,-0.6,0.0,2.288851,0.077697,0.036595,0.702109,0.029717,0.0,0.082716,2.793804,4.674458,0.0,5.634266,4.0,0.036595,0.184129,0.686852,0.068826,0.484254,0.446466
2026-07-11_10-16-39_mujoco,4999,full,vx=0.3_vy=0.2,0.3,0.2,2.248101,0.080343,0.036217,0.700518,0.031691,0.0,0.086316,2.907814,4.512839,0.0,6.022268,0.666667,0.0,0.323707,0.249015,0.175392,0.498157,0.478165
2026-07-11_10-16-39_mujoco,4999,full,vx=0.3_vyaw=0.5,0.3,0.0,2.172431,0.072429,0.030079,0.696709,0.038704,0.0,0.091994,3.003469,4.700938,0.0,6.882311,1.333333,0.030079,0.38516,0.260366,0.064256,0.881116,0.484266
2026-07-11_10-16-39_mujoco,4999,full,vx=0.3_vy=0.2_vyaw=0.5,0.3,0.2,2.243705,0.094711,0.043961,0.704976,0.027532,0.0,0.083849,2.875534,4.531731,0.0,6.182797,11.666667,0.0,0.33465,0.236001,0.166246,0.802167,0.450423
