run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-11_10-15-33_mujoco,9999,full,vx=0.1,0.1,0.0,23.741041,-0.233411,0.063509,0.334039,0.011227,0.0,0.140383,6.342754,2.910604,0.0,21.107373,14.333333,0.063509,2.45017,0.365164,0.093343,1.762935,1.510437
2026-07-11_10-15-33_mujoco,9999,full,vx=0.2,0.2,0.0,22.80057,-0.224471,0.060212,0.334038,0.011154,0.0,0.137454,6.121825,2.879591,0.0,20.278621,14.333333,0.060212,1.178081,0.44807,0.089167,1.759564,1.499551
2026-07-11_10-15-33_mujoco,9999,full,vx=0.3,0.3,0.0,23.234022,-0.226313,0.062577,0.333951,0.011031,0.0,0.137471,6.242571,2.900091,0.0,20.621745,14.333333,0.062577,0.792417,0.546206,0.090959,1.927219,1.474905
2026-07-11_10-15-33_mujoco,9999,full,vx=0.4,0.4,0.0,22.40897,-0.220648,0.060034,0.333889,0.010836,0.0,0.137502,6.028745,2.87278,0.0,19.940411,14.333333,0.060034,0.579586,0.636829,0.08882,1.790911,1.499901
2026-07-11_10-15-33_mujoco,9999,full,vx=0.5,0.5,0.0,23.208889,-0.231112,0.061843,0.334226,0.011442,0.0,0.140119,6.204236,2.871641,0.0,20.682207,14.333333,0.061843,0.48503,0.745623,0.091644,1.581203,1.473602
2026-07-11_10-15-33_mujoco,9999,full,vx=0.6,0.6,0.0,23.979424,-0.23506,0.066125,0.334375,0.011544,0.0,0.140766,6.448889,2.887874,0.0,21.378992,14.333333,0.066125,0.411593,0.848309,0.094808,1.769469,1.43409
2026-07-11_10-15-33_mujoco,9999,full,vy=0.1,0.0,0.1,23.313179,-0.22804,0.062931,0.333996,0.0111,0.0,0.13857,6.248677,2.886522,0.0,20.680597,14.333333,0.22804,2.396062,0.27069,0.076577,1.840836,1.492417
2026-07-11_10-15-33_mujoco,9999,full,vy=0.2,0.0,0.2,23.451639,-0.230257,0.062768,0.334117,0.011245,0.0,0.139531,6.295563,2.892887,0.0,20.896944,14.333333,0.230257,1.20847,0.273546,0.152869,1.771541,1.472244
2026-07-11_10-15-33_mujoco,9999,full,vy=0.3,0.0,0.3,23.354826,-0.230964,0.063043,0.334158,0.011293,0.0,0.140201,6.260575,2.888651,0.0,20.803404,14.333333,0.230964,0.808533,0.273847,0.246493,1.704989,1.484167
2026-07-11_10-15-33_mujoco,9999,full,vyaw=0.5,0.0,0.0,23.155518,-0.228906,0.062786,0.334276,0.011418,0.0,0.139362,6.219575,2.881889,0.0,20.649181,14.333333,0.0,0.240408,0.271402,0.091811,1.475946,1.439546
2026-07-11_10-15-33_mujoco,9999,full,vyaw=1.0,0.0,0.0,23.99299,-0.234417,0.063946,0.33403,0.011253,0.0,0.140758,6.416494,2.909078,0.0,21.36973,14.333333,0.0,0.246128,0.278805,0.094528,1.456701,1.456004
2026-07-11_10-15-33_mujoco,9999,full,vx=-0.3,-0.3,0.0,23.301254,-0.22919,0.062829,0.33403,0.011191,0.0,0.139083,6.246101,2.911261,0.0,20.739674,14.333333,0.062829,0.802704,0.163514,0.092506,1.774938,1.486204
2026-07-11_10-15-33_mujoco,9999,full,vx=-0.6,-0.6,0.0,23.035606,-0.226637,0.06223,0.33409,0.011183,0.0,0.138315,6.182602,2.909517,0.0,20.452548,14.333333,0.06223,0.3969,0.40036,0.091031,1.761784,1.476896
2026-07-11_10-15-33_mujoco,9999,full,vx=0.3_vy=0.2,0.3,0.2,22.957783,-0.226779,0.060748,0.334,0.011098,0.0,0.139105,6.149423,2.884472,0.0,20.429214,14.333333,0.0,0.660152,0.546449,0.154522,1.710636,1.497511
2026-07-11_10-15-33_mujoco,9999,full,vx=0.3_vyaw=0.5,0.3,0.0,22.993494,-0.226595,0.06212,0.334094,0.01118,0.0,0.138877,6.168323,2.854548,0.0,20.471966,14.333333,0.06212,0.793616,0.546146,0.091501,1.539204,1.494985
2026-07-11_10-15-33_mujoco,9999,full,vx=0.3_vy=0.2_vyaw=0.5,0.3,0.2,22.994043,-0.227971,0.061679,0.333918,0.011133,0.0,0.139018,6.132546,2.904241,0.0,20.432977,14.333333,0.0,0.664195,0.547795,0.15391,1.528019,1.511002
